,hotel,price,score,review_number
187,쥬빌리 펜션,"₩61,101",4.5,13
188,미르빌 펜션 & 리조트,"₩43,000",4,5
189,오션스타 레저콘도,"₩120,000",4.5,2
190,스카이리조트,"₩35,754",4.5,2
191,제주 길라임 펜션,"₩66,938",4,10
192,이로 제주,"₩117,129",4.5,10
193,제이앤클로이,"₩125,000",4.5,4
194,호텔굿인,"₩34,227",3.5,39
195,부띠끄스테이스놉,"₩85,168",5,1
196,앳눈호텔,"₩41,332",4,20
197,한라궁 호텔,"₩112,850",4.5,2
198,자몽호텔,"₩44,150",4,3
199,제주 룩스 호텔,"₩35,633",3.5,22
200,제주 스테이 비우다,"₩279,999",4.5,9
201,레몬트리,"₩50,000",4.5,8
202,디 아일랜드 마리나,"₩71,478",3.5,37
203,대명 샤인빌 리조트,"₩132,299",3.5,55
204,제주BP게스트하우스,"₩39,999",4.5,7
205,블루 하와이 리조트,"₩55,000",3.5,16
206,레프트핸더 게스트하우스,"₩104,999",4.5,8
207,호텔 엘린,"₩46,478",4,18
208,메이플 호텔,"₩48,919",4,11
209,부다페스트인,"₩159,000",5,5
210,济州岛珍珠观光酒店,"₩39,582",3.5,12
211,스토리빌,"₩81,395",4.5,5
212,코업시티호텔 하버뷰,"₩45,780",3.5,5
213,제이뷰 호텔,"₩41,681",4.5,6
214,더스테이 센추리호텔,"₩58,001",4,6
215,메종드제주 풀빌라,"₩305,882",5,1
216,써니데이 제주,"₩160,000",4.5,8
217,퐁낭에염,"₩49,999",5,3
218,레이크힐스리조트 제주,"₩87,501",4.5,8
219,까사 데 비발디,"₩61,218",5,1
220,쉴띠 펜션,"₩69,000",5,1
221,씨스테이 호텔 & 스파,"₩96,900",4,11
222,꿈에그린펜션,"₩47,000",4.5,4
223,해모랏 펜션,"₩54,707",5,1
224,더 비비스 제주,"₩52,941",4.5,6
225,갤러리 호텔 비앤비,"₩35,000",3.5,6
226,제주 팔레스 호텔,"₩44,602",3,53
227,성게돌펜션,"₩65,000",5,1
228,송당송당펜션앤리조트,"₩32,986",4,2
229,바우하우스 B동,"₩59,999",5,4
230,천지연 크리스탈 호텔,"₩55,000",4.5,4
231,하모니 리조트,"₩94,201",5,3
232,제주란 B&B,"₩79,000",5,4
233,솔라시도 펜션,"₩95,023",4.5,8
234,썬라이즈호텔 - 섭지코지점,"₩47,069",4.5,4
235,모나코 모텔,"₩44,999",4,12
236,포트 애비뉴 호텔,"₩53,005",4,12
237,푸른제주민박,"₩38,999",4,5
238,아쿠아 뷰티크,"₩237,500",4.5,5
239,참피온호텔,"₩35,000",3.5,18
240,다이아몬드호텔,"₩50,000",4,6
241,제주노블레스관광호텔,"₩44,792",3.5,10
242,블랙샌즈호텔,"₩48,999",3.5,13
243,성산우리집펜션,"₩65,000",4.5,3
244,스카이 리더스 호텔,"₩32,399",3.5,5
245,그림리조트,"₩70,578",3.5,3
246,아르츠 스파 앤 풀 빌라,"₩215,000",4.5,3
247,호텔 W 탑동점,"₩56,636",3.5,13
248,베니키아 호텔 제주,"₩47,284",4,30
249,켄싱턴 리조트 제주 한림,"₩50,337",3.5,13
250,홍익제주호텔,"₩49,001",5,1
251,푸른섬 게스트하우스,"₩39,690",5,2
252,수앤수리조트,"₩72,888",4.5,4
253,오션 그랜드 호텔 제주,"₩54,900",3,49
254,오션스퀘어 리조트,"₩45,000",3.5,2
255,에코 그린 리조트,"₩65,450",4,6
256,뜨레비모텔,"₩31,932",4.5,3
257,샐리스 제주 호텔,"₩65,219",3.5,3
258,티라호텔,"₩47,699",5,2
259,북마크 게스트하우스,"₩70,001",5,2
260,제주 랜드 펜션,"₩35,000",5,3
261,썬라이즈 호텔 - 중문점,"₩43,407",4,7
262,아뜨네제주 통나무펜션,"₩59,054",4.5,3
263,바다마루 펜션,"₩49,001",4.5,3
264,배또롱하우스,"₩241,546",5,2
265,아모렉스 리조트,"₩49,724",3.5,13
266,제주 팜힐,"₩51,000",5,3
267,비스타 뷰 리조트,"₩117,000",4.5,4
268,풍경 호텔,"₩48,048",3.5,7
269,제주휴펜션,"₩45,000",5,2
270,성산 아쿠아 비치 호텔,"₩36,500",3.5,5
271,루시드엠,"₩100,000",5,2
272,이화 호텔,"₩36,436",3.5,4
273,코델리아 리조트,"₩37,520",3.5,12
274,몽듀호텔,"₩59,465",5,2
275,유티에스골프빌리지,"₩50,990",4,6
276,자고가 게스트하우스,"₩50,000",4,4
277,솔바람 풍경소리 펜션,"₩141,176",4.5,4
278,하니크라운호텔,"₩36,000",3.5,6
279,산토리니펜션,"₩44,650",4.5,2
280,와하하게스트하우스,"₩49,999",4.5,2
281,더루케테호텔,"₩30,995",4.5,3
282,라오체 리조트,"₩85,119",4.5,3
283,비울채울펜션,"₩78,194",4,5
284,스테이 인 제주,"₩79,000",5,2
285,골든파크호텔,"₩30,141",3.5,6
286,그린 비치 펜션,"₩59,000",4.5,4
287,라사니아캐슬,"₩57,772",4,5
288,라임오렌지빌,"₩55,000",4.5,3
289,그린나래펜션,"₩65,000",4,3
290,풀로라 호텔 . 제이드림호텔,"₩50,667",4.5,13
291,베니키아 호텔 마리나,"₩58,000",3.5,14
292,나인스파빌,"₩99,000",4.5,2
293,담모라 리조트,"₩43,699",5,2
294,탐라지오 호텔,"₩32,747",4,4
295,흰수염고래리조트,"₩80,000",5,2
296,바다위올레 펜션,"₩57,819",4.5,3
297,제주해길하우스,"₩230,000",4.5,2
298,제주 해조대 펜션,"₩88,282",4,4
299,씨엔피 리조트,"₩60,001",5,2
300,호텔에어시티,"₩56,500",3,5
301,가름 게스트하우스,"₩45,901",4.5,3
302,씨제이관광호텔,"₩43,832",4,3
303,더큐브리조트 제주,"₩81,539",2,1
304,신성 리조트,"₩59,999",3,2
305,호텔 마레,"₩39,999",4.5,2
306,호텔 서귀피안,"₩77,626",5,2
307,니하오 게스트하우스,"₩28,551",4,3
308,파크사이드호텔,"₩36,017",5,1
309,알프스호텔,"₩21,038",2.5,5
310,제주리조트,"₩54,832",5,2
311,라인 호텔,"₩49,999",5,1
312,돈내코펜션,"₩49,000",5,1
313,제주 드헤브,"₩55,000",5,1
314,제주 스카이힐,"₩42,715",5,1
315,호텔 스카보로,"₩154,000",5,1
316,코델리아S호텔,"₩30,656",2.5,2
317,독채펜션 태흥 예술 극장,"₩120,000",5,1
318,지미스테이,"₩182,001",5,1
319,유러하우스,"₩47,690",5,1
320,런호텔,"₩50,000",5,1
321,올레요 리조트,"₩40,000",3.5,10
322,수펜션,"₩49,000",5,1
323,펜션연리,"₩77,778",5,1
324,마레카 펜션,"₩420,000",5,2
325,"해비치 바람의 집 펜션,카페","₩74,113",5,1
326,빌레리조트,"₩49,999",5,1
327,대정펜션,"₩58,000",4,3
328,제주. 아우룸,"₩50,000",5,1
329,돈내코힐스파리조트,"₩47,735",3,6
330,라이온힐 휴양펜션,"₩58,000",5,1
331,제주로하스펜션,"₩28,999",5,1
332,해바라기민박,"₩39,999",5,1
333,뉴 오션 리조트,"₩41,792",3.5,3
334,호텔 컬리넌 제주,"₩51,945",3.5,6
335,보물섬,"₩31,842",4,2
336,보보스모텔,"₩37,500",5,1
337,카노푸스 리조트 펜션,"₩250,000",4,2
338,오렌지 호텔,"₩42,223",4.5,2
339,소보록 요보록펜션,"₩44,954",4,2
340,오드리인호텔,"₩41,769",5,1
341,포엠하우스,"₩64,761",5,1
342,아라스테이게스트하우스,"₩248,001",5,1
343,더베이제주리조트,"₩63,199",4,2
344,더 세리 리조트,"₩200,000",4,4
345,중문시티호텔,"₩45,151",3.5,4
346,바다와자전거,"₩71,999",5,1
347,주광리조트,"₩130,000",4,2
348,메가 리조트,"₩81,028",3.5,3
349,화이트 드림 펜션,"₩71,999",3.5,3
350,로긴 리조트&호텔,"₩80,000",4,2
351,나르샤 리조트,"₩46,000",5,1
352,제주 퍼시픽 호텔,"₩86,099",3.5,31
353,렉스호텔,"₩45,305",5,1
354,파미유 스파 리조트,"₩69,029",4,2
355,그린 게스트하우스,"₩48,107",5,1
356,해마 호텔,"₩62,500",4,2
357,뭉클펜션,"₩56,942",5,1
358,라메종베니 제주,"₩85,000",5,1
359,초콜릿 호텔,"₩60,000",4,2
360,아크로뷰 호텔,"₩36,182",5,1
361,보름펜션,"₩70,001",5,1
362,휴마루 리조트,"₩49,761",5,1
363,호텔캘리포니아,"₩55,000",5,1
364,해라의 성,"₩49,999",4,2
365,제주민박 살롱드탱자,"₩60,832",5,1
366,済州ワンダーリゾート,"₩51,074",3,9
367,뉴아일랜드호텔,"₩42,223",3,11
368,외돌개나라,"₩80,000",5,1
369,레드 스카이,"₩39,441",5,1
370,게스트하우스풍경,"₩58,824",5,1
371,휴 리조트,"₩57,500",3.5,3
372,프레임 펜션,"₩50,001",4,2
373,이쁜새 이쁘게 노래하고 펜션,"₩49,001",5,1
374,태흥 리조트,"₩94,118",5,1
375,호텔DK,"₩45,667",4,1
376,한국 콘도 제주,"₩65,399",3,17
377,블루팜파크,"₩144,445",4,1
378,제니스 홈 게스트하우스,"₩49,999",3.5,4
379,돔베리조트,"₩40,057",3.5,2
380,메이저호텔,"₩60,001",4,1
381,나디아펜션,"₩32,659",4,1
382,Sweetmay Seogwipo,"₩34,036",3.5,3
383,노블레스 호텔,"₩49,500",4,1
384,호텔 라벤다 제주,"₩37,775",4,1
385,스프링힐리조트,"₩55,261",4,1
386,중문 리조트,"₩31,765",3.5,2
387,끄라비펜션,"₩49,522",4,1
388,제주터닝포인트 펜션,"₩220,000",4,1
