,location,rating,number_of_reviews,date,trip type
239,,,,2016년 11월,출장 목적으로 여행함
240,,,,2016년 10월,커플로 여행함
241,,,,2016년 1월,가족과 여행함
242,,,,2016년 10월,가족과 여행함
243,,,,2016년 5월,친구와 여행함
244,,,,2016년 9월,가족과 여행함
245,,,,2016년 7월,가족과 여행함
246,,,,2015년 10월,나 혼자 여행함
247,,,,2016년 6월,가족과 여행함
248,,,,2016년 6월,친구와 여행함
249,,,,2016년 8월,친구와 여행함
250,,,,2016년 8월,가족과 여행함
251,,,,2016년 7월,가족과 여행함
252,,,,2015년 9월,친구와 여행함
253,,,,2016년 7월,가족과 여행함
254,,,,2016년 6월,커플로 여행함
255,,,,2016년 5월,가족과 여행함
256,,,,2016년 7월,친구와 여행함
257,,,,2016년 6월,친구와 여행함
258,,,,2015년 8월,가족과 여행함
259,,,,2016년 6월,친구와 여행함
260,,,,2016년 3월,나 혼자 여행함
261,,,,2016년 7월,가족과 여행함
262,,,,2016년 1월,가족과 여행함
263,,,,2016년 4월,커플로 여행함
264,,,,2016년 3월,커플로 여행함
265,,,,2015년 9월,가족과 여행함
266,,,,2015년 7월,커플로 여행함
267,,,,2016년 6월,커플로 여행함
268,,,,2015년 9월,커플로 여행함
269,,,,2015년 8월,가족과 여행함
270,,,,2015년 11월,커플로 여행함
271,,,,2015년 8월,가족과 여행함
272,,,,2016년 6월,가족과 여행함
273,,,,2015년 9월,가족과 여행함
274,,,,2016년 5월,커플로 여행함
275,,,,2016년 5월,친구와 여행함
276,,,,2016년 5월,커플로 여행함
277,,,,2016년 4월,커플로 여행함
278,,,,2015년 7월,커플로 여행함
279,,,,2016년 3월,나 혼자 여행함
280,,,,2016년 5월,친구와 여행함
281,,,,2015년 10월,친구와 여행함
282,,,,2016년 4월,가족과 여행함
283,,,,2016년 4월,친구와 여행함
284,,,,2016년 4월,가족과 여행함
285,,,,2015년 7월,가족과 여행함
286,,,,2016년 4월,커플로 여행함
287,,,,2016년 4월,가족과 여행함
288,,,,2016년 4월,나 혼자 여행함
289,,,,2015년 9월,커플로 여행함
290,,,,2016년 3월,커플로 여행함
291,,,,2016년 4월,커플로 여행함
292,,,,2016년 4월,가족과 여행함
293,,,,2015년 5월,커플로 여행함
294,,,,2016년 4월,나 혼자 여행함
295,,,,2016년 3월,나 혼자 여행함
296,,,,2016년 4월,가족과 여행함
297,,,,2016년 4월,커플로 여행함
298,,,,2016년 4월,친구와 여행함
299,,,,2015년 8월,가족과 여행함
300,,,,2016년 1월,커플로 여행함
301,,,,2016년 3월,커플로 여행함
302,,,,2015년 10월,가족과 여행함
303,,,,2016년 3월,나 혼자 여행함
304,,,,2016년 3월,친구와 여행함
305,,,,2015년 11월,커플로 여행함
306,,,,2016년 2월,나 혼자 여행함
307,,,,2016년 3월,가족과 여행함
308,,,,2016년 3월,가족과 여행함
309,,,,2016년 3월,가족과 여행함
310,,,,2016년 3월,친구와 여행함
311,,,,2016년 3월,가족과 여행함
312,,,,2015년 9월,가족과 여행함
313,,,,2015년 4월,가족과 여행함
314,,,,2015년 9월,커플로 여행함
315,,,,2016년 2월,가족과 여행함
316,,,,2016년 3월,가족과 여행함
317,,,,2015년 4월,커플로 여행함
318,,,,2015년 7월,가족과 여행함
319,,,,2015년 6월,나 혼자 여행함
320,,,,2016년 1월,친구와 여행함
321,,,,2015년 11월,가족과 여행함
322,,,,2015년 10월,친구와 여행함
323,,,,2016년 2월,친구와 여행함
324,,,,2015년 5월,가족과 여행함
325,,,,2015년 6월,커플로 여행함
326,,,,2015년 7월,커플로 여행함
327,,,,2015년 12월,나 혼자 여행함
328,,,,2015년 8월,커플로 여행함
329,,,,2015년 3월,커플로 여행함
330,,,,2015년 9월,가족과 여행함
331,,,,2016년 2월,친구와 여행함
332,,,,2015년 6월,가족과 여행함
333,,,,2015년 7월,가족과 여행함
334,,,,2015년 4월,가족과 여행함
335,,,,2016년 2월,가족과 여행함
336,,,,2015년 5월,가족과 여행함
337,,,,2015년 9월,커플로 여행함
338,,,,2015년 5월,친구와 여행함
339,,,,2015년 12월,나 혼자 여행함
340,,,,2016년 1월,커플로 여행함
341,,,,2016년 1월,친구와 여행함
342,,,,2015년 5월,출장 목적으로 여행함
343,,,,2015년 9월,나 혼자 여행함
344,,,,2016년 1월,가족과 여행함
345,,,,2016년 1월,커플로 여행함
346,,,,2015년 12월,나 혼자 여행함
347,,,,2015년 10월,가족과 여행함
348,,,,2015년 9월,가족과 여행함
349,,,,2016년 1월,친구와 여행함
350,,,,2015년 9월,가족과 여행함
351,,,,2015년 9월,친구와 여행함
352,,,,2015년 12월,가족과 여행함
353,,,,2016년 1월,커플로 여행함
354,,,,2015년 8월,가족과 여행함
355,,,,2016년 1월,친구와 여행함
356,,,,2015년 12월,가족과 여행함
357,,,,2015년 11월,가족과 여행함
358,,,,2015년 10월,가족과 여행함
359,,,,2015년 5월,가족과 여행함
360,,,,2015년 12월,출장 목적으로 여행함
361,,,,2015년 12월,친구와 여행함
362,,,,2016년 1월,가족과 여행함
363,,,,2015년 12월,친구와 여행함
364,,,,2015년 12월,나 혼자 여행함
365,,,,2015년 11월,친구와 여행함
366,,,,2015년 12월,커플로 여행함
367,,,,2015년 7월,가족과 여행함
368,,,,2015년 7월,가족과 여행함
369,,,,2015년 9월,나 혼자 여행함
370,,,,2015년 11월,가족과 여행함
371,,,,2015년 12월,가족과 여행함
372,,,,2015년 8월,가족과 여행함
373,,,,2015년 1월,친구와 여행함
374,,,,2015년 3월,가족과 여행함
375,,,,2015년 12월,커플로 여행함
376,,,,2015년 2월,커플로 여행함
